field,fieldLabel,paperCount
http://orkg.org/orkg/resource/R136177,"Plant Cultivation, Plant Nutrition, Agricultural Technology",1
http://orkg.org/orkg/resource/R137685,"Urbanism, Spatial Planning, Transportation and Infrastructure Planning, Landscape Planning",1
http://orkg.org/orkg/resource/R176,Biological and Chemical Physics,1
http://orkg.org/orkg/resource/R209,Biomaterials,1
http://orkg.org/orkg/resource/R270,Ocean Engineering,1
http://orkg.org/orkg/resource/R358,Inequality and Stratification,1
http://orkg.org/orkg/resource/R112118,Computer Vision and Pattern Recognition,1
http://orkg.org/orkg/resource/R119,"Stars, Interstellar Medium and the Galaxy",1
http://orkg.org/orkg/resource/R118,The Sun and the Solar System,1
http://orkg.org/orkg/resource/R157,Algebra,1
http://orkg.org/orkg/resource/R167,Oceanography and Atmospheric Sciences and Meteorology,1
http://orkg.org/orkg/resource/R136113,Education Systems and Educational Institutions,1
http://orkg.org/orkg/resource/R18,Structural Biology,1
http://orkg.org/orkg/resource/R224,Civil and Environmental Engineering,1
http://orkg.org/orkg/resource/R452,Philosophy of Science,1
